epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,112.492,1.02563,0.81646,0.96863,1,0.98952,0.995,0.62035,1.3043,1.81527,1.00933,0.000490728,0.000490728,0.000490728
44,115.247,1.15968,0.80646,1.0224,1,0.98952,0.995,0.62035,1.3043,1.81527,1.00933,0.000493898,0.000493898,0.000493898
45,117.696,1.23221,0.95231,1.0956,1,0.78236,0.995,0.64036,1.30761,1.79094,0.97767,0.000496672,0.000496672,0.000496672
46,120.022,1.14317,0.80698,0.97928,1,0.78236,0.995,0.64036,1.30761,1.79094,0.97767,0.00049905,0.00049905,0.00049905
47,122.726,1.17383,0.88902,1.04192,1,0.78514,0.995,0.70117,1.1258,1.79131,0.94339,0.000501032,0.000501032,0.000501032
48,125.082,0.99057,0.79393,0.97373,1,0.78514,0.995,0.70117,1.1258,1.79131,0.94339,0.000502618,0.000502618,0.000502618
49,127.623,1.13112,0.9114,1.03919,1,0.83234,0.995,0.69439,1.21013,1.82137,0.95567,0.000503808,0.000503808,0.000503808
50,130.102,1.15713,0.85717,1.00356,1,0.83234,0.995,0.69439,1.21013,1.82137,0.95567,0.000504602,0.000504602,0.000504602
51,132.919,1.09065,0.78602,1.04306,1,0.77268,0.995,0.72035,1.10262,1.84605,0.94488,0.000505,0.000505,0.000505
52,135.286,1.06054,0.81782,1.0021,1,0.77268,0.995,0.72035,1.10262,1.84605,0.94488,0.000505002,0.000505002,0.000505002
53,137.894,1.16386,0.80423,1.02231,1,0.77268,0.995,0.72035,1.10262,1.84605,0.94488,0.000504608,0.000504608,0.000504608
54,140.514,1.17964,0.82397,1.04491,1,0.45446,0.995,0.68064,1.25529,1.95829,0.96707,0.000503818,0.000503818,0.000503818
55,142.916,1.05216,0.79898,0.99928,1,0.45446,0.995,0.68064,1.25529,1.95829,0.96707,0.000502632,0.000502632,0.000502632
56,145.563,1.09749,0.81925,1.02705,1,0.45446,0.995,0.68064,1.25529,1.95829,0.96707,0.00050105,0.00050105,0.00050105
57,148.132,1.09327,0.79259,0.99997,1,0.48295,0.995,0.67212,1.28244,2.01797,0.96622,0.000499072,0.000499072,0.000499072
58,150.588,1.08168,0.77649,0.99936,1,0.48295,0.995,0.67212,1.28244,2.01797,0.96622,0.000496698,0.000496698,0.000496698
59,153.049,1.03185,0.84037,1.00161,1,0.48295,0.995,0.67212,1.28244,2.01797,0.96622,0.000493928,0.000493928,0.000493928
60,155.457,1.08526,0.78011,1.01863,1,0.5372,0.995,0.64348,1.3015,1.97169,0.96836,0.000490762,0.000490762,0.000490762
61,157.901,1.10994,0.75114,0.99177,1,0.5372,0.995,0.64348,1.3015,1.97169,0.96836,0.0004872,0.0004872,0.0004872
62,160.323,1.01902,0.76258,0.9474,1,0.5372,0.995,0.64348,1.3015,1.97169,0.96836,0.000483242,0.000483242,0.000483242
63,162.717,1.10799,0.81637,0.94055,1,0.8771,0.995,0.66582,1.28855,1.8384,0.98101,0.000478888,0.000478888,0.000478888
64,165.393,1.00448,0.73787,0.9836,1,0.8771,0.995,0.66582,1.28855,1.8384,0.98101,0.000474138,0.000474138,0.000474138
65,167.981,1.09628,0.74814,0.96935,1,0.8771,0.995,0.66582,1.28855,1.8384,0.98101,0.000468992,0.000468992,0.000468992
66,170.631,1.02685,0.74373,0.95853,1,0.98336,0.995,0.71435,1.24251,1.6363,0.98013,0.00046345,0.00046345,0.00046345
67,173.273,0.942,0.71924,0.94804,1,0.98336,0.995,0.71435,1.24251,1.6363,0.98013,0.000457512,0.000457512,0.000457512
68,176.027,1.00235,0.83198,1.00478,1,0.98336,0.995,0.71435,1.24251,1.6363,0.98013,0.000451178,0.000451178,0.000451178
69,178.362,1.05338,0.79203,0.98687,1,0.98701,0.995,0.70557,1.21903,1.47727,0.97575,0.000444448,0.000444448,0.000444448
70,180.738,1.03399,0.77415,1.00186,1,0.98701,0.995,0.70557,1.21903,1.47727,0.97575,0.000437322,0.000437322,0.000437322
71,183.142,1.12432,0.75542,0.97737,1,0.98701,0.995,0.70557,1.21903,1.47727,0.97575,0.0004298,0.0004298,0.0004298
72,185.662,1.07396,0.7927,1.01047,1,0.98428,0.995,0.72147,1.2515,1.35003,1.01338,0.000421882,0.000421882,0.000421882
73,188.188,1.00729,0.73054,0.93302,1,0.98428,0.995,0.72147,1.2515,1.35003,1.01338,0.000413568,0.000413568,0.000413568
74,190.819,1.02564,0.72773,0.98879,1,0.98428,0.995,0.72147,1.2515,1.35003,1.01338,0.000404858,0.000404858,0.000404858
75,193.199,1.06546,0.74376,0.99581,1,0.99231,0.995,0.70641,1.25504,1.23979,1.02428,0.000395752,0.000395752,0.000395752
76,195.853,1.05887,0.74549,0.98708,1,0.99231,0.995,0.70641,1.25504,1.23979,1.02428,0.00038625,0.00038625,0.00038625
77,198.2,0.94467,0.72464,0.95683,1,0.99231,0.995,0.70641,1.25504,1.23979,1.02428,0.000376352,0.000376352,0.000376352
78,200.633,0.93084,0.7391,0.98644,0.99287,1,0.995,0.74954,1.19237,1.13384,0.99789,0.000366058,0.000366058,0.000366058
79,203.126,1.0191,0.73141,0.95095,0.99287,1,0.995,0.74954,1.19237,1.13384,0.99789,0.000355368,0.000355368,0.000355368
80,205.398,1.03246,0.70755,0.99259,0.99287,1,0.995,0.74954,1.19237,1.13384,0.99789,0.000344282,0.000344282,0.000344282
81,207.965,1.04662,0.7481,1.01459,0.98887,1,0.995,0.71332,1.23741,1.05376,0.99211,0.0003328,0.0003328,0.0003328
82,210.496,1.03397,0.73486,0.97979,0.98887,1,0.995,0.71332,1.23741,1.05376,0.99211,0.000320922,0.000320922,0.000320922
83,212.986,0.99477,0.73006,0.90833,0.98887,1,0.995,0.71332,1.23741,1.05376,0.99211,0.000308648,0.000308648,0.000308648
84,215.62,0.95952,0.69416,0.94595,0.98804,1,0.995,0.71118,1.25431,0.98818,0.98587,0.000295978,0.000295978,0.000295978
85,218.099,0.94723,0.69649,0.92313,0.98804,1,0.995,0.71118,1.25431,0.98818,0.98587,0.000282912,0.000282912,0.000282912
86,220.752,0.98478,0.69955,0.93748,0.98804,1,0.995,0.71118,1.25431,0.98818,0.98587,0.00026945,0.00026945,0.00026945
87,223.158,0.97145,0.72294,0.94103,0.98804,1,0.995,0.71118,1.25431,0.98818,0.98587,0.000255592,0.000255592,0.000255592
88,225.665,0.90679,0.66612,0.91608,0.98716,1,0.995,0.70455,1.21577,0.91907,0.97253,0.000241338,0.000241338,0.000241338
89,228.031,1.01649,0.76718,0.98822,0.98716,1,0.995,0.70455,1.21577,0.91907,0.97253,0.000226688,0.000226688,0.000226688
90,230.563,0.93327,0.67753,0.94793,0.98716,1,0.995,0.70455,1.21577,0.91907,0.97253,0.000211642,0.000211642,0.000211642
91,233.253,0.90642,0.70079,0.98172,0.98716,1,0.995,0.70455,1.21577,0.91907,0.97253,0.0001962,0.0001962,0.0001962
92,235.579,0.95578,0.75673,0.98469,0.98719,1,0.995,0.70455,1.19025,0.86097,0.96833,0.000180362,0.000180362,0.000180362
93,237.946,0.9885,0.74114,0.97923,0.98719,1,0.995,0.70455,1.19025,0.86097,0.96833,0.000164128,0.000164128,0.000164128
94,240.506,0.94071,0.70661,0.94107,0.98719,1,0.995,0.70455,1.19025,0.86097,0.96833,0.000147498,0.000147498,0.000147498
95,242.949,0.90468,0.71726,0.89977,0.98719,1,0.995,0.70455,1.19025,0.86097,0.96833,0.000130472,0.000130472,0.000130472
96,245.415,0.92064,0.732,0.95507,0.98794,1,0.995,0.70455,1.19565,0.8375,0.97172,0.00011305,0.00011305,0.00011305
97,248.166,0.84084,0.68518,0.93475,0.98794,1,0.995,0.70455,1.19565,0.8375,0.97172,9.5232e-05,9.5232e-05,9.5232e-05
98,250.861,0.9187,0.70439,0.905,0.98794,1,0.995,0.70455,1.19565,0.8375,0.97172,7.7018e-05,7.7018e-05,7.7018e-05
99,253.635,0.8837,0.69615,0.90088,0.98794,1,0.995,0.70455,1.19565,0.8375,0.97172,5.8408e-05,5.8408e-05,5.8408e-05
100,256.232,0.82577,0.72821,0.948,0.98847,1,0.995,0.70455,1.20198,0.81106,0.98332,3.9402e-05,3.9402e-05,3.9402e-05
